"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
36;-8.90729290748867;-9.46938815410231;-8.84801127142268;-7.90757333971533;-8.76234997775323;-7.7362491171293;-9.34899246920191;-10.3012621529849;-8.88354928752708;-7.18359824740226;-9.11217051676008;-8.88017608944175;-8.2291292148052;-7.32962162151722;-8.0194734370047;-7.62568066307877;-10.9474341316872;-7.95235116880513
37;-8.69439390743106;-9.26411045365316;-8.51957645684912;-7.89338797856643;-7.3480387633168;-7.69403045662926;-8.2960774686415;-9.62365282111036;-9.12371348832542;-8.84956522808727;-10.6855803300424;-7.18771701713517;-7.09761053652773;-8.20826741988908;-7.81746888249041;-7.52723077784555;-9.34743385866033;-7.87209847077532
38;-8.49564826705173;-9.45047118960746;-9.60268723871277;-8.09898742976495;-8.62730361290897;-8.1532390085299;-8.70269240041868;-9.6635669295687;-8.68285383019304;-9.81060404328643;-7.57428731628432;-8.21395909086289;-8.51247741789176;-7.82323226239541;-8.86085510151386;-8.07053564802181;-8.5629653240017;-9.20661614000819
39;-9.00545172578053;-9.31004279611203;-9.0403944200448;-7.23004682267642;-7.34237095736251;-7.58070944193943;-8.49803165226613;-9.47792187549393;-8.32449349774681;-7.69735138944197;-7.78100374282116;-8.46767336803033;-9.31837505254379;-7.18397154806086;-8.5809563460613;-8.08255622825287;-9.30877890528346;-7.07462744696981
40;-7.97316919809224;-8.79480612796834;-8.56814776490946;-9.59590265200867;-9.16934094312323;-8.04225534059488;-8.20079892833376;-8.9399466411439;-8.70020257320626;-8.52742386238691;-9.81444074569115;-6.72023840834788;-10.0273955048549;-9.45857492609956;-7.05478201259186;-8.02303660112343;-10.6401020939297;-11.0626712471099
41;-8.64787121584538;-8.65543836718936;-8.68133892437588;-7.60208915098158;-7.38895620346612;-7.54271602578153;-8.04379511458712;-8.6786728341803;-8.65240363506001;-8.26078923981823;-8.1396831089789;-9.35840052016781;-7.31931960687313;-7.11312555034988;-8.5838256586464;-7.77176902919931;-7.56515932856321;-9.02672259758174
42;-7.73381930028765;-8.48858648311307;-8.65969365082713;-7.52128992340098;-7.21765169922268;-6.90818948156811;-7.68440418902845;-8.82714799519941;-8.32227659531898;-6.90069458045608;-7.17987288446623;-8.67885304955456;-5.46022316508661;-8.53531828004446;-7.33779176605896;-7.69995981166911;-8.87041006416469;-8.19238499561215
43;-8.19770225547518;-8.35553259050251;-8.22181483330638;-7.44503708132829;-6.85622258930147;-9.31030291892346;-7.6726468289742;-8.01270898680402;-8.025717256156;-7.67669062332409;-6.66781385231654;-6.88845386060465;-6.92238584785225;-6.41191092525069;-7.13888348449352;-8.61136281975816;-7.94830891524024;-6.31817473848193
44;-8.36723393134135;-8.70641526429416;-8.75132592730373;-6.77246048778636;-7.09686309198385;-6.33178888345754;-7.71147797226038;-8.08579613268328;-7.6360136803673;-8.07363212278616;-6.88887258982965;-8.39190779149505;-6.72912694264653;-7.57731629242887;-7.11360507283173;-7.81950386802;-5.98730585265513;-7.69000569578212
45;-7.73942160878665;-8.45202829440242;-8.42841176575158;-7.01069189659464;-8.23122729473526;-7.38637918150203;-7.17011641262349;-7.74824149564439;-7.44096003884243;-8.69577600040961;-6.84992675149509;-6.60742036840427;-6.66224750527377;-8.41834331973877;-5.64716757650072;-5.81021993055128;-6.4649295684843;-7.1614390905524
