"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
40;-4.74914391198035;-5.12349690711535;-4.99253490023463;-4.9942679325459;-5.06375609278136;-4.21432470314544;-4.57852249714503;-5.06983271788492;-4.73541139162428;-4.82293864534676;-4.88148779895876;-5.02965245794712;-4.09659933703566;-4.79333409215089;-4.83935804473002;-4.68549207352889;-4.57089891261455;-4.91996984011553
41;-4.84331037927559;-5.11045039343763;-4.98456887559871;-4.01189407560812;-4.06946041630106;-4.21224808196714;-4.31123007352444;-4.87497948183572;-4.68483950397674;-4.90292526523962;-4.87211164799377;-5.06909484095422;-4.18718475563378;-4.51259915711824;-4.40627382610307;-4.33963095426011;-4.73858282031785;-4.74199945877522
42;-4.60521847834951;-4.98297550508701;-4.90942919321391;-3.94394509860628;-3.84171135075899;-3.83146685098902;-4.18753325075708;-4.75594755827987;-4.52304806671944;-4.55044543457604;-5.10168623491835;-4.80901238105432;-3.7546993697911;-3.95817123687034;-4.15243567512931;-4.30487906520136;-4.54224223170084;-4.47559734607772
43;-4.59620993243412;-4.75840392845357;-4.68886694729208;-3.86002821314705;-3.79660239571973;-4.51645955225519;-4.00098475960566;-4.62721584594991;-4.35565986179505;-4.56143780446034;-4.53034373033526;-4.89210323904149;-3.38596901146947;-4.36152183729411;-3.81947529569768;-4.01979258260761;-3.99990854183378;-4.23999326289657
44;-4.83699645143449;-4.99970063076032;-4.98083701882229;-3.86315110898497;-3.79886095616019;-3.50755168620448;-4.31731736573067;-4.5938786268195;-4.08478135501725;-4.75660541955663;-4.96618201450299;-4.94551304744572;-3.95595215170169;-4.61304741048047;-4.01258325983312;-3.73389843872526;-4.21472391096917;-4.51703696015754
45;-4.393985586929;-4.82107631321797;-4.72608578814277;-3.72425154816841;-4.83401074113798;-3.84287552545394;-3.75910029320933;-4.16771678440227;-4.09572256234244;-4.29446915328088;-4.79575127186837;-4.78859879930134;-3.82533397738879;-3.35553150596568;-3.77937995786255;-3.67193579321224;-4.17257880415205;-4.03415697802368
46;-4.21803220901486;-4.61424311018237;-4.65629543573456;-3.40281767335387;-3.46454785713283;-3.7714771144294;-4.22492252452556;-4.48773240818097;-3.86586540812409;-4.09979716806321;-4.52377940119681;-4.61255984258636;-3.19764654412849;-3.45173438630207;-4.08986144054216;-3.7192350864398;-3.59284409983204;-4.03602480901338
47;-4.30948427789303;-4.54421793456322;-4.47308865995345;-3.74798148361042;-4.01424163248805;-4.25109053922474;-3.79792006821372;-4.09556669135312;-4.20008255009572;-4.18598362631861;-4.44767006753577;-4.62260521414344;-3.96713678112472;-4.389142603068;-4.03820582281399;-3.95778356868319;-4.11208019308274;-4.10031787305145
48;-4.23392032578101;-4.62659071641364;-4.55804518228259;-3.64441220360839;-3.99852256598841;-3.90744910362809;-3.70952490045557;-4.40424969175119;-3.87506036714286;-4.13238939398949;-4.53768888463317;-4.5434355254093;-3.66094013918478;-3.97909094165874;-3.95175200434972;-3.57401224393042;-3.97605555101383;-4.05159442066403
49;-4.04463024468973;-4.4836566788994;-4.38409160949102;-3.52924867909403;-3.91784351869785;-3.67556745955838;-3.62230498816855;-4.26655068728514;-3.95119143045417;-4.25055955363479;-4.43103865889115;-4.30349974362124;-3.8784208301579;-3.9472290014317;-4.12115014697482;-3.94470931204967;-3.58381117069654;-4.013326577209
50;-3.94780585314046;-4.25855724862148;-4.23463362905378;-3.48358079037617;-3.7972115930665;-3.55495622329638;-3.54911958224642;-4.35506539124319;-3.77148154767506;-4.05188171392968;-4.16127508004878;-4.2553360944822;-3.55773520721014;-3.55671575249205;-3.71815801409988;-3.30455997273914;-3.65171461114523;-3.82103116992688
51;-4.22101604334695;-4.5127656363625;-4.42079980801396;-3.8988421659226;-4.96321076732151;-4.17314246912624;-4.13796026294758;-4.61988635947368;-4.33741451532924;-4.1901269132785;-4.25246992412672;-4.56365109765323;-4.54802728284589;-4.52669648514485;-4.5803789344542;-4.30403291076947;-4.47394520547392;-4.50829687725414
52;-4.03302674060135;-4.34343861375665;-4.21377607511119;-3.94276820656589;-4.153668164514;-4.06816101600793;-3.85433243574436;-4.47906454012594;-4.13101426131937;-4.09694539191672;-4.08203960469374;-4.31281142570432;-4.02414827025488;-3.97789581214588;-4.15830596057725;-3.98526225921672;-4.10663268086386;-4.26911896230473
53;-3.81165591105031;-4.1189795631169;-4.02420346716639;-3.59486062217108;-4.22631722931416;-3.75895864611875;-3.98087627272142;-4.49581485656196;-3.96606249284888;-3.89979213014582;-4.15352779678163;-4.13782929057759;-3.73136882385417;-3.80628434576764;-3.97765090433977;-3.58952334138447;-3.98160658288369;-4.08503524122597
54;-4.09444614285995;-4.28921687421232;-4.22842163541107;-3.8926468800057;-3.56236714033851;-3.77943462310571;-4.09496977013037;-4.3492544048616;-3.81109643749823;-4.19445415910241;-4.26045789568255;-4.17752630401027;-3.55638425199323;-3.6399199267955;-4.21748607822772;-3.79002030965365;-3.88698935678282;-4.1015993830661
55;-4.20016257973558;-4.41021998972438;-4.34048359308763;-3.35562259610255;-3.55821666412989;-3.6739902461529;-3.56985397487395;-4.21207483055606;-3.68346704828043;-4.1229043099584;-4.31889013564693;-4.45425580383693;-3.54300065275967;-3.86478956010902;-3.64906802312723;-3.58016185978543;-4.34658701910824;-3.90569173737149
56;-4.16405377746153;-4.3711421514386;-4.28363794629762;-3.62344109497108;-3.66131327734525;-3.51101052496767;-3.69773128702998;-4.17357430235185;-3.55325811687085;-4.07691602261053;-4.16289656114388;-4.4737107914174;-3.79647224291986;-3.23772245877591;-3.73791976450244;-3.61581027627297;-3.79570901822744;-3.51264693856191
57;-4.41332143002529;-4.64494690439783;-4.6333590538642;-3.90555241269894;-4.77623791937437;-4.24397761888267;-4.4103235578731;-4.73551782596943;-4.30594035278533;-4.41108742862173;-4.47405268303342;-4.73513505750419;-4.25811982461858;-4.3519869061192;-4.51963436443349;-4.15796772112175;-4.6068680433175;-4.51305865472082
58;-4.23309963428594;-4.45123106052202;-4.33754656187641;-3.7548486477416;-4.16761590866437;-3.80338869805106;-4.16830390910548;-4.46900931086261;-4.11586065650533;-4.27535315531973;-4.39990380511619;-4.50722012977133;-3.56158368302977;-4.30355924731034;-4.08412012970802;-4.06246326286225;-4.22880883206568;-4.41834326948218
59;-4.07227274384631;-4.25526977033881;-4.17698005832773;-3.84371927920006;-3.80364025828453;-3.66355393359011;-4.22745127787706;-4.48510265392269;-4.06495788134521;-4.02373431426417;-4.17566684476359;-4.28618104760373;-3.70385421189904;-3.72991827334266;-3.86647912177387;-4.10501421895571;-4.02040813980723;-4.167399665041
60;-3.96806478905315;-4.27228198738364;-4.09324809311665;-3.58449886420595;-3.19178580784614;-3.45739923633996;-3.88962560617004;-4.27001858384;-3.92821838996176;-3.87553531896409;-4.20215305208486;-4.16182217507484;-3.19014519052897;-3.53359046460128;-3.67202848940436;-3.60952864129629;-3.82652563423489;-3.97029216571452
